contract_id,walk_year_position_group,walk_year_toi_per_game,walk_year_toi_total,walk_year_games,walk_year_goals,walk_year_assists,walk_year_points,walk_year_points_per_game,post_signing_seasons_observed,post_signing_avg_toi_per_game,post_signing_avg_points_per_game,contract_complete,post_signing_toi_change,post_signing_points_change,trajectory_prior_seasons_found,trajectory_toi_slope,trajectory_points_slope,trajectory,tier_toi_percentile,tier
1445,forward,14.384244999999998,1050.049885,73,6,16,22,0.3013698630136986,1,11.482423333333333,0.21818181818181817,TRUE,-2.901821666666665,-0.08318804483188044,2,-0.8481883333330098,0.11008822401223291,declining,0.44988864142538976,middle
1446,NA,NA,NA,NA,NA,NA,NA,NA,2,12.078518333333333,0.25112443778110943,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1447,forward,13.255146666666665,901.3499733333332,68,9,19,28,0.4117647058823529,2,14.880117499999999,0.4895104895104895,TRUE,1.6249708333333341,0.07774578362813656,2,-0.8869233333329993,-0.019490254872556276,declining,0.46826758147512865,middle
1448,forward,15.234594999999999,1005.48327,66,14,21,35,0.5303030303030303,1,16.138061666666665,0.6756756756756757,FALSE,0.9034666666666666,0.14537264537264538,3,1.445291666667009,0.1036693191865808,rising,0.6586206896551724,middle
1449,forward,16.138061666666665,1194.2165633333332,74,27,23,50,0.6756756756756757,3,16.77693222222222,0.7790440957984192,FALSE,0.638870555555556,0.1033684201227435,2,0.7089550000001087,0.08158508158509369,rising,0.723404255319149,top
1450,NA,NA,NA,NA,NA,NA,NA,NA,3,15.300242777777777,0.6766979255470305,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1451,forward,17.982443333333332,1348.68325,75,34,36,70,0.9333333333333333,5,18.770484333333332,1.2015037130890789,FALSE,0.7880409999999998,0.26817037975574554,2,-0.028091666666654462,-0.07715260017047382,stable,0.8745762711864407,top
1452,forward,19.56443,1604.2832600000002,82,61,52,113,1.3780487804878048,2,20.14411833333333,1.2540650406504066,FALSE,0.5796883333333298,-0.12398373983739819,2,-0.17653749999997848,-0.14384920634918955,stable,0.939935064935065,top
1453,NA,NA,NA,NA,NA,NA,NA,NA,2,12.7808675,0.3483950617283951,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1454,forward,14.500205000000001,1174.516605,81,12,16,28,0.345679012345679,2,17.297918333333335,0.5780379041248607,FALSE,2.797713333333334,0.23235889177918168,2,1.1004016666656704,0.21679012345659365,rising,0.5982758620689655,middle
1455,forward,18.58376,1449.53328,78,35,19,54,0.6923076923076923,3,18.99867111111111,0.8772262849675363,FALSE,0.4149111111111097,0.184918592659844,2,1.5118716666668874,0.11808910359636743,rising,0.8996960486322189,top
1456,NA,NA,NA,NA,NA,NA,NA,NA,1,11.79111,0.4,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1457,forward,11.514166666666664,921.1333333333332,80,14,12,26,0.325,1,13.452898333333334,0.37681159420289856,FALSE,1.9387316666666692,0.05181159420289855,2,0.40637333333296816,-0.15471698113193522,rising,0.3086206896551724,fringe
1458,NA,NA,NA,NA,NA,NA,NA,NA,2,16.59883,0.6447606142728094,TRUE,NA,NA,3,0.6277075000002625,0.06576428766750218,rising,NA,NA
1459,forward,16.756096666666668,1373.9999266666669,82,16,29,45,0.5487804878048781,2,16.43951416666667,0.6557461761058289,FALSE,-0.3165824999999991,0.10696568830095077,2,1.494332499999826,0.18196457326889998,rising,0.7548701298701299,top
1460,NA,NA,NA,NA,NA,NA,NA,NA,1,13.608333333333333,0.18181818181818182,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1461,defense,16.681943333333333,1401.28324,84,2,23,25,0.2976190476190476,1,19.399033333333332,0.3188405797101449,TRUE,2.717089999999999,0.021221532091097284,1,NA,NA,insufficient_history,0.4166666666666667,middle
1462,defense,19.399033333333332,1338.5332999999998,69,2,20,22,0.3188405797101449,4,20.168257916666665,0.3352231697799858,FALSE,0.7692245833333331,0.016382590069840886,2,3.073609999998835,0.11580086580082188,rising,0.6378737541528239,middle
