player_id,player_name,name_key,name_key_ascii,first_name,last_name,first_name_key,last_name_key,name_key_first_last
8471846,Kris Fredheim,kris fredheim,kris fredheim,Kris,Fredheim,kris,fredheim,kris fredheim
8475219,Kristopher Foucault,kristopher foucault,kristopher foucault,Kristopher,Foucault,kristopher,foucault,kristopher foucault
8475252,Matt Hackett,matt hackett,matt hackett,Matt,Hackett,matt,hackett,matt hackett
8474585,Tyler Cuma,tyler cuma,tyler cuma,Tyler,Cuma,tyler,cuma,tyler cuma
8471296,Alexei Emelin,alexei emelin,alexei emelin,Alexei,Emelin,alexei,emelin,alexei emelin
8473647,Frédéric St-Denis,frédéric st-denis,frederic st-denis,Frédéric,St-Denis,frédéric,st-denis,frédéric st-denis
8475254,Gabriel Dumont,gabriel dumont,gabriel dumont,Gabriel,Dumont,gabriel,dumont,gabriel dumont
8475183,Louis Leblanc,louis leblanc,louis leblanc,Louis,Leblanc,louis,leblanc,louis leblanc
8476244,Raphael Diaz,raphael diaz,raphael diaz,Raphael,Diaz,raphael,diaz,raphael diaz
8476457,Adam Larsson,adam larsson,adam larsson,Adam,Larsson,adam,larsson,adam larsson
8471228,Alexander Radulov,alexander radulov,alexander radulov,Alexander,Radulov,alexander,radulov,alexander radulov
8475225,Craig Smith,craig smith,craig smith,Craig,Smith,craig,smith,craig smith
8475268,Gabriel Bourque,gabriel bourque,gabriel bourque,Gabriel,Bourque,gabriel,bourque,gabriel bourque
8475218,Mattias Ekholm,mattias ekholm,mattias ekholm,Mattias,Ekholm,mattias,ekholm,mattias ekholm
8474600,Roman Josi,roman josi,roman josi,Roman,Josi,roman,josi,roman josi
8475176,Ryan Ellis,ryan ellis,ryan ellis,Ryan,Ellis,ryan,ellis,ryan ellis
8474143,Ryan Thang,ryan thang,ryan thang,Ryan,Thang,ryan,thang,ryan thang
8474604,Aaron Ness,aaron ness,aaron ness,Aaron,Ness,aaron,ness,aaron ness
8475195,Anders Nilsson,anders nilsson,anders nilsson,Anders,Nilsson,anders,nilsson,anders nilsson
