player_id,player_name,match_status,position,signing_team,signing_team_abbr,previous_team,previous_team_abbr,contract_value,aav,contract_years,signing_year,season_start,season,signing_date,contract_type
8478147,Bokondji Imama,exact,LW,Arizona Coyotes,ARI,Arizona Coyotes,ARI,750000,750000,1,2022,2022,20222023,2022-07-13,other
NA,Brad Lambert,unmatched,C,Winnipeg Jets,WPG,NA,NA,3600000,1200000,3,2022,2022,20222023,2022-10-12,RFA
8482061,Brandon Biro,exact,LW,Buffalo Sabres,BUF,Buffalo Sabres,BUF,1525000,762500,2,2022,2022,20222023,2022-07-08,other
NA,Brandon Scanlin,unmatched,LD,New York Rangers,NYR,NA,NA,1850000,925000,2,2022,2022,20222023,2022-03-19,other
8475188,Brayden McNabb,exact,"RD, LD",Vegas Golden Knights,VGK,Vegas Golden Knights,VGK,8550000,2850000,3,2022,2022,20222023,2022-01-30,UFA
8481167,Brayden Pachal,exact,RD,Vegas Golden Knights,VGK,Vegas Golden Knights,VGK,750000,750000,1,2022,2022,20222023,2022-07-28,other
NA,Brendan Brisson,unmatched,"LW, RW, C",Vegas Golden Knights,VGK,NA,NA,2775000,925000,3,2022,2022,20222023,2022-04-30,RFA
8476867,Brendan Gaunce,exact,"C, RW",Columbus Blue Jackets,CBJ,Columbus Blue Jackets,CBJ,1525000,762500,2,2022,2022,20222023,2022-06-18,UFA
8474090,Brendan Smith,exact,"LD, RD",New Jersey Devils,NJD,Carolina Hurricanes,CAR,2200000,1100000,2,2022,2022,20222023,2022-07-13,UFA
NA,Brett Harrison,unmatched,C,Boston Bruins,BOS,NA,NA,2800000,925000,3,2022,2022,20222023,2022-08-01,RFA
8479353,Brett Howden,exact,"LW, C",Vegas Golden Knights,VGK,Vegas Golden Knights,VGK,1500000,1500000,1,2022,2022,20222023,2022-07-13,other
8476967,Brett Kulak,exact,"LD, RD",Edmonton Oilers,EDM,Montréal Canadiens,MTL,11000000,2750000,4,2022,2022,20222023,2022-07-13,UFA
8481517,Brett Leason,exact,"RW, LW",Washington Capitals,WSH,Washington Capitals,WSH,1550000,775000,2,2022,2022,20222023,2022-06-20,other
8479419,Brett Murray,exact,LW,Buffalo Sabres,BUF,Buffalo Sabres,BUF,750000,750000,1,2022,2022,20222023,2022-07-18,other
8478881,Brett Seney,exact,LW,Chicago Blackhawks,CHI,Toronto Maple Leafs,TOR,750000,750000,1,2022,2022,20222023,2022-07-13,UFA
8483531,Brian Halonen,exact,LW,New Jersey Devils,NJD,NA,NA,1850000,925000,2,2022,2022,20222023,2022-03-27,other
8478444,Brock Boeser,exact,RW,Vancouver Canucks,VAN,Vancouver Canucks,VAN,19950000,6650000,3,2022,2022,20222023,2022-07-01,UFA
8481479,Brogan Rafferty,exact,RD,Seattle Kraken,SEA,Vancouver Canucks,VAN,750000,750000,1,2022,2022,20222023,2022-07-13,UFA
8475810,Bryan Rust,exact,"RW, LW",Pittsburgh Penguins,PIT,Pittsburgh Penguins,PIT,30750000,5125000,6,2022,2022,20222023,2022-05-21,UFA
8479985,Cale Fleury,exact,RD,Seattle Kraken,SEA,Seattle Kraken,SEA,750000,750000,1,2022,2022,20222023,2022-08-30,other
8478452,Caleb Jones,exact,"RD, LD",Chicago Blackhawks,CHI,Chicago Blackhawks,CHI,1350000,1350000,1,2022,2022,20222023,2022-08-12,other
8482250,Callahan Burke,exact,C,Colorado Avalanche,COL,NA,NA,750000,750000,1,2022,2022,20222023,2022-07-19,other
8475714,Calle Jarnkrok,exact,"RW, LW, C",Toronto Maple Leafs,TOR,Seattle Kraken,SEA,8400000,2100000,4,2022,2022,20222023,2022-07-15,UFA
